Q1_Please_enter_your_age,Q2_What_is_your_gender,Q3_How_satisfied_are_you_with_our_service,completion_time_sec
61,Prefer not to say,4.0,42
33,Female,3.0,91
82,Other,3.0,49
73,Male,4.0,150
51,Female,4.0,59
66,Male,5.0,112
73,Female,5.0,178
80,Other,3.0,79
20,Female,2.0,98
52,Female,4.0,88
89,Male,1.0,77
43,Female,4.0,81
37,Male,4.0,17
27,Other,3.0,31
14,Other,3.0,15
73,Female,5.0,33
38,Prefer not to say,3.0,269
56,Other,1.0,36
14,Prefer not to say,3.0,58
23,Prefer not to say,3.0,40
62,Male,4.0,97
5,Prefer not to say,5.0,81
73,Prefer not to say,4.0,102
8,Prefer not to say,5.0,149
20,Male,5.0,26
28,Female,2.0,8
84,Prefer not to say,,18
6,Other,4.0,28
36,Male,4.0,37
88,Prefer not to say,5.0,41
28,Prefer not to say,3.0,68
16,Male,1.0,36
54,Male,4.0,9
39,Male,4.0,32
37,Prefer not to say,4.0,27
37,Male,4.0,36
65,Prefer not to say,5.0,16
55,Other,5.0,65
47,Prefer not to say,4.0,28
16,Female,5.0,255
71,Prefer not to say,1.0,64
69,Prefer not to say,4.0,27
37,Prefer not to say,4.0,26
44,Female,5.0,137
78,Male,3.0,42
47,Prefer not to say,3.0,46
48,Other,1.0,30
33,Other,3.0,30
17,Male,3.0,113
16,Other,4.0,61
50,Female,1.0,21
6,Male,5.0,33
39,Male,3.0,5
85,Female,4.0,6
12,Female,5.0,46
30,Other,5.0,69
78,Other,4.0,65
38,Female,,19
11,Other,4.0,32
72,Prefer not to say,3.0,139
62,Female,4.0,41
79,Other,5.0,178
33,Other,4.0,82
40,Male,4.0,38
25,Male,1.0,107
40,Prefer not to say,4.0,53
14,Female,3.0,40
77,Prefer not to say,4.0,44
28,Female,4.0,39
68,Female,2.0,47
53,Other,2.0,65
40,Male,4.0,71
86,Male,5.0,26
28,Female,2.0,19
27,Other,4.0,52
66,Female,4.0,127
41,Male,3.0,26
16,Prefer not to say,3.0,24
59,Male,4.0,9
17,Prefer not to say,4.0,61
27,Male,5.0,91
34,Male,3.0,47
21,Female,4.0,37
66,Prefer not to say,5.0,127
88,Prefer not to say,4.0,51
17,Female,4.0,52
63,Female,5.0,61
23,Other,5.0,7
53,Prefer not to say,3.0,62
16,Male,3.0,75
65,Female,4.0,269
23,Prefer not to say,3.0,76
80,Female,4.0,27
13,Prefer not to say,4.0,22
75,Male,5.0,69
32,Female,5.0,27
82,Other,4.0,42
56,Male,4.0,20
87,Female,4.0,68
20,Other,4.0,53
73,Female,4.0,51
16,Male,,10
29,Male,,12
56,Male,5.0,21
89,Other,4.0,16
57,Prefer not to say,4.0,90
27,Male,,53
20,Male,4.0,68
61,Prefer not to say,4.0,27
43,Other,4.0,102
57,Other,4.0,15
46,Prefer not to say,5.0,15
62,Male,4.0,9
43,Other,5.0,122
18,Prefer not to say,3.0,52
9,Other,4.0,51
39,Female,2.0,28
79,Female,4.0,48
22,Prefer not to say,2.0,74
80,Male,4.0,55
13,Female,5.0,60
78,Male,4.0,83
62,Other,5.0,16
21,Prefer not to say,5.0,62
11,Female,5.0,56
50,Prefer not to say,4.0,21
17,Prefer not to say,3.0,59
44,Prefer not to say,4.0,53
46,Prefer not to say,4.0,53
13,Prefer not to say,4.0,29
54,Other,4.0,76
31,Female,3.0,86
70,Prefer not to say,5.0,12
9,Female,1.0,97
33,Female,5.0,38
41,Other,3.0,82
42,Female,4.0,73
87,Female,4.0,27
12,Female,2.0,69
69,Other,5.0,65
21,Male,2.0,13
75,Female,2.0,86
49,Female,3.0,160
8,Female,4.0,230
40,Male,4.0,71
74,Male,5.0,139
35,Other,4.0,89
23,Prefer not to say,4.0,94
65,Female,3.0,92
58,Prefer not to say,3.0,45
43,Male,,66
78,Prefer not to say,5.0,44
23,Other,4.0,9
43,Male,4.0,27
71,Female,5.0,62
49,Prefer not to say,4.0,77
17,Male,5.0,26
62,Male,5.0,52
24,Prefer not to say,4.0,85
76,Prefer not to say,3.0,60
65,Prefer not to say,5.0,165
43,Male,4.0,80
5,Female,1.0,88
7,Male,4.0,40
81,Female,4.0,68
66,Prefer not to say,5.0,31
67,Prefer not to say,3.0,37
29,Other,3.0,57
60,Female,4.0,44
37,Prefer not to say,4.0,45
42,Female,4.0,44
10,Female,4.0,33
62,Female,5.0,31
48,Female,4.0,100
49,Male,4.0,25
36,Other,1.0,72
49,Female,,5
65,Female,5.0,55
51,Other,2.0,28
25,Prefer not to say,4.0,102
84,Female,1.0,20
89,Prefer not to say,5.0,59
79,Male,4.0,5
40,Other,5.0,47
23,Male,3.0,16
24,Prefer not to say,5.0,96
61,Other,4.0,45
22,Male,5.0,17
51,Prefer not to say,,49
53,Prefer not to say,4.0,86
18,Other,3.0,27
19,Other,2.0,58
35,Prefer not to say,3.0,38
5,Prefer not to say,3.0,91
58,Male,4.0,3
7,Male,4.0,95
20,Prefer not to say,1.0,125
61,Female,5.0,28
79,Other,4.0,19
16,Other,5.0,183
78,Other,5.0,108
20,Prefer not to say,4.0,116
76,Male,1.0,44
80,Male,5.0,44
28,Other,5.0,68
32,Female,5.0,34
12,Other,4.0,47
40,Other,1.0,85
12,Other,3.0,28
62,Female,4.0,37
64,Other,5.0,48
54,Male,3.0,33
32,Female,5.0,34
45,Female,4.0,109
68,Male,1.0,7
31,Prefer not to say,2.0,16
67,Female,3.0,73
21,Female,5.0,15
77,Female,4.0,39
37,Prefer not to say,5.0,31
88,Other,4.0,95
81,Prefer not to say,,57
33,Male,4.0,18
17,Male,4.0,66
50,Male,4.0,72
39,Female,4.0,59
10,Other,4.0,93
86,Other,5.0,7
73,Female,3.0,52
51,Other,5.0,19
29,Prefer not to say,5.0,81
70,Male,4.0,44
14,Male,3.0,33
60,Female,3.0,7
34,Female,4.0,45
9,Female,2.0,74
37,Female,4.0,260
69,Male,3.0,60
22,Female,2.0,73
53,Male,5.0,34
15,Other,3.0,36
89,Prefer not to say,3.0,14
30,Other,2.0,34
67,Prefer not to say,5.0,62
63,Female,2.0,43
31,Male,1.0,38
53,Prefer not to say,3.0,75
81,Male,4.0,79
37,Other,4.0,86
5,Female,4.0,16
25,Female,3.0,56
59,Prefer not to say,4.0,38
10,Other,4.0,140
85,Female,,56
73,Other,5.0,22
9,Other,5.0,101
7,Male,5.0,92
57,Other,4.0,104
27,Other,1.0,51
57,Other,3.0,54
41,Other,2.0,162
78,Female,4.0,155
78,Male,,28
87,Prefer not to say,3.0,40
21,Male,4.0,22
89,Female,4.0,81
82,Female,3.0,117
77,Prefer not to say,4.0,109
5,Female,4.0,35
55,Female,4.0,97
49,Male,2.0,126
81,Male,1.0,68
8,Male,4.0,62
66,Prefer not to say,4.0,42
69,Male,4.0,95
36,Prefer not to say,1.0,47
38,Female,3.0,48
76,Prefer not to say,5.0,30
43,Prefer not to say,4.0,59
30,Other,,36
38,Other,1.0,45
58,Female,4.0,35
7,Female,5.0,44
54,Male,3.0,64
16,Prefer not to say,5.0,28
69,Other,1.0,57
58,Male,3.0,28
9,Other,3.0,134
61,Male,1.0,42
21,Other,4.0,12
51,Male,5.0,61
27,Prefer not to say,3.0,61
83,Male,4.0,15
89,Female,3.0,35
18,Male,3.0,21
70,Other,4.0,10
79,Prefer not to say,3.0,74
55,Male,5.0,67
42,Male,3.0,51
68,Female,2.0,35
42,Other,5.0,2
54,Female,5.0,75
86,Male,4.0,25
34,Prefer not to say,2.0,90
83,Other,4.0,39
55,Male,3.0,24
67,Male,3.0,114
56,Other,3.0,40
42,Female,5.0,18
83,Prefer not to say,2.0,160
34,Female,4.0,42
55,Female,3.0,262
85,Prefer not to say,,28
9,Male,3.0,84
33,Other,3.0,132
8,Other,4.0,24
14,Female,5.0,93
60,Female,5.0,111
21,Male,4.0,62
78,Prefer not to say,4.0,57
21,Prefer not to say,4.0,56
88,Other,5.0,91
73,Prefer not to say,5.0,25
38,Female,4.0,46
10,Male,4.0,103
57,Male,2.0,167
70,Female,3.0,14
81,Other,2.0,29
47,Female,3.0,51
79,Male,4.0,169
27,Male,4.0,58
59,Male,4.0,18
84,Prefer not to say,1.0,49
79,Female,4.0,55
20,Other,4.0,15
12,Female,4.0,30
8,Female,2.0,25
8,Female,4.0,9
60,Prefer not to say,5.0,72
29,Female,2.0,50
71,Male,3.0,125
71,Other,3.0,13
31,Prefer not to say,1.0,150
36,Prefer not to say,4.0,21
54,Prefer not to say,2.0,21
65,Prefer not to say,3.0,34
55,Male,4.0,98
23,Male,4.0,55
25,Other,5.0,46
9,Female,1.0,17
86,Prefer not to say,5.0,40
46,Female,,10
65,Female,4.0,110
26,Other,3.0,101
25,Prefer not to say,1.0,97
74,Female,3.0,64
5,Other,3.0,47
9,Female,4.0,47
16,Other,4.0,47
50,Male,5.0,43
38,Other,5.0,122
53,Other,2.0,77
82,Male,4.0,39
49,Prefer not to say,2.0,13
31,Other,,40
77,Other,3.0,131
30,Female,2.0,14
51,Other,4.0,63
60,Other,4.0,48
67,Female,,76
52,Prefer not to say,4.0,56
65,Male,4.0,30
85,Male,4.0,126
30,Other,3.0,71
40,Prefer not to say,1.0,133
5,Male,4.0,167
12,Female,4.0,61
56,Other,3.0,37
83,Other,,37
51,Prefer not to say,4.0,35
60,Other,3.0,57
18,Prefer not to say,1.0,23
32,Male,5.0,41
82,Male,3.0,52
6,Prefer not to say,4.0,21
30,Male,4.0,19
18,Male,2.0,92
63,Male,4.0,63
60,Prefer not to say,1.0,9
11,Female,4.0,23
7,Female,2.0,80
27,Male,1.0,11
22,Female,3.0,120
42,Male,4.0,28
19,Other,5.0,14
68,Female,4.0,43
32,Other,,20
78,Male,1.0,51
43,Female,,28
61,Female,5.0,94
21,Other,5.0,18
48,Male,4.0,32
29,Female,3.0,39
21,Prefer not to say,,19
17,Male,5.0,38
88,Prefer not to say,4.0,40
29,Female,4.0,173
72,Female,4.0,113
14,Prefer not to say,2.0,15
71,Female,4.0,32
22,Female,3.0,14
38,Male,5.0,58
12,Male,3.0,37
44,Male,3.0,84
87,Other,4.0,89
46,Male,4.0,89
45,Female,4.0,118
10,Female,4.0,33
56,Other,3.0,38
30,Female,3.0,170
68,Other,4.0,54
63,Male,,12
60,Prefer not to say,4.0,37
63,Prefer not to say,4.0,127
74,Prefer not to say,4.0,7
37,Prefer not to say,5.0,26
57,Prefer not to say,3.0,19
26,Other,4.0,84
25,Female,5.0,93
74,Other,3.0,30
74,Female,,30
8,Male,4.0,15
79,Other,4.0,128
66,Male,4.0,81
66,Female,4.0,150
28,Female,3.0,108
59,Female,5.0,8
13,Female,5.0,8
7,Prefer not to say,4.0,28
35,Female,3.0,37
44,Female,5.0,63
40,Male,3.0,44
28,Male,5.0,32
10,Prefer not to say,4.0,8
70,Prefer not to say,4.0,38
88,Prefer not to say,4.0,138
79,Prefer not to say,2.0,22
8,Prefer not to say,4.0,36
83,Male,,8
10,Male,3.0,206
55,Other,4.0,145
66,Prefer not to say,4.0,149
61,Female,1.0,39
70,Prefer not to say,3.0,20
83,Other,3.0,59
79,Other,3.0,48
12,Female,4.0,60
30,Male,5.0,49
55,Other,4.0,29
49,Female,5.0,65
48,Female,4.0,44
9,Other,2.0,43
74,Other,4.0,51
30,Male,4.0,49
72,Female,4.0,29
23,Female,2.0,105
88,Male,2.0,29
24,Other,4.0,4
16,Female,5.0,10
51,Male,,18
5,Female,5.0,13
18,Female,4.0,28
68,Other,4.0,9
42,Female,5.0,48
41,Other,,85
15,Female,,40
81,Female,5.0,53
7,Female,2.0,43
37,Male,5.0,16
10,Other,3.0,109
54,Male,5.0,13
14,Prefer not to say,5.0,62
9,Female,5.0,58
27,Prefer not to say,5.0,87
14,Other,4.0,63
48,Male,3.0,46
6,Male,5.0,44
17,Other,,87
44,Other,3.0,6
6,Male,5.0,2
88,Prefer not to say,4.0,219
69,Other,5.0,40
67,Female,4.0,45
77,Prefer not to say,5.0,14
21,Male,4.0,48
13,Other,3.0,39
79,Other,4.0,96
19,Prefer not to say,3.0,27
28,Other,3.0,29
42,Female,2.0,14
39,Male,4.0,76
53,Prefer not to say,4.0,16
73,Prefer not to say,5.0,94
66,Female,1.0,62
64,Other,2.0,0
54,Prefer not to say,4.0,50
82,Male,3.0,55
79,Other,4.0,89
13,Prefer not to say,4.0,45
38,Prefer not to say,2.0,41
80,Male,5.0,70
39,Prefer not to say,4.0,53
5,Other,3.0,82
44,Female,1.0,100
68,Prefer not to say,1.0,15
26,Female,4.0,95
64,Male,5.0,49
68,Female,5.0,19
76,Prefer not to say,4.0,26
15,Male,5.0,53
18,Other,2.0,79
64,Female,3.0,95
34,Prefer not to say,5.0,28
39,Other,3.0,154
89,Female,3.0,45
41,Other,4.0,21
9,Prefer not to say,5.0,215
87,Prefer not to say,,26
82,Female,4.0,136
30,Female,5.0,96
66,Prefer not to say,3.0,122
8,Other,3.0,153
46,Female,3.0,11
22,Prefer not to say,4.0,36
44,Male,3.0,55
76,Other,3.0,53
43,Male,5.0,43
18,Male,3.0,58
36,Other,5.0,86
55,Male,4.0,77
42,Male,3.0,27
27,Male,3.0,39
67,Prefer not to say,3.0,21
19,Male,4.0,147
29,Male,3.0,25
21,Other,4.0,108
70,Other,4.0,103
82,Male,1.0,40
57,Male,5.0,31
55,Male,4.0,78
43,Prefer not to say,3.0,37
55,Male,,7
74,Other,5.0,22
10,Other,5.0,61
71,Male,2.0,74
11,Male,2.0,33
55,Other,,20
76,Male,4.0,72
46,Male,5.0,149
68,Prefer not to say,4.0,72
19,Male,4.0,70
33,Prefer not to say,1.0,117
37,Female,5.0,55
31,Prefer not to say,5.0,53
40,Male,3.0,54
33,Male,4.0,37
42,Other,3.0,174
61,Male,2.0,56
31,Male,4.0,23
59,Male,4.0,110
37,Prefer not to say,4.0,126
72,Prefer not to say,5.0,108
70,Female,5.0,23
14,Prefer not to say,4.0,43
9,Other,3.0,65
78,Prefer not to say,2.0,81
42,Male,5.0,49
17,Prefer not to say,3.0,6
35,Male,2.0,33
51,Other,4.0,1
56,Female,3.0,135
60,Female,5.0,86
19,Female,5.0,7
33,Female,4.0,24
12,Male,4.0,37
9,Male,2.0,25
33,Prefer not to say,,8
51,Male,4.0,62
72,Female,3.0,24
80,Male,,140
49,Other,5.0,86
6,Other,5.0,46
31,Other,5.0,18
40,Female,5.0,15
40,Prefer not to say,4.0,46
30,Male,4.0,165
47,Prefer not to say,5.0,31
31,Male,5.0,161
73,Female,4.0,69
24,Other,2.0,46
15,Female,5.0,49
78,Other,3.0,61
42,Prefer not to say,5.0,79
10,Prefer not to say,4.0,73
76,Female,4.0,27
27,Female,5.0,39
51,Male,4.0,47
50,Prefer not to say,,14
16,Other,3.0,43
17,Prefer not to say,3.0,13
66,Male,5.0,26
86,Female,3.0,31
64,Other,5.0,27
47,Male,4.0,34
80,Female,5.0,72
72,Other,4.0,3
9,Male,5.0,45
41,Female,5.0,68
76,Prefer not to say,5.0,9
35,Female,5.0,65
13,Female,4.0,68
55,Male,5.0,46
33,Male,2.0,10
82,Male,4.0,18
44,Female,4.0,14
45,Female,5.0,62
15,Prefer not to say,4.0,100
27,Male,,15
5,Prefer not to say,3.0,40
50,Other,4.0,11
25,Prefer not to say,5.0,31
40,Male,5.0,106
58,Other,4.0,11
61,Female,4.0,56
5,Female,4.0,63
67,Other,5.0,17
58,Male,3.0,69
59,Prefer not to say,5.0,39
44,Female,5.0,109
19,Other,3.0,39
25,Prefer not to say,4.0,76
51,Prefer not to say,5.0,63
77,Female,4.0,12
57,Male,5.0,23
13,Male,4.0,100
78,Other,5.0,163
56,Other,5.0,63
61,Male,4.0,43
30,Other,,41
45,Male,4.0,116
39,Female,3.0,60
67,Prefer not to say,1.0,17
29,Other,5.0,18
79,Female,4.0,111
42,Male,4.0,17
6,Other,4.0,38
11,Female,5.0,67
86,Other,5.0,64
38,Female,4.0,34
21,Male,5.0,28
47,Prefer not to say,3.0,62
63,Female,5.0,18
55,Male,2.0,101
58,Other,4.0,47
28,Prefer not to say,1.0,74
29,Prefer not to say,5.0,37
75,Other,4.0,39
56,Prefer not to say,5.0,74
74,Other,4.0,25
37,Other,5.0,107
53,Male,4.0,15
33,Other,4.0,32
67,Male,5.0,58
26,Female,2.0,79
30,Female,3.0,19
32,Other,,22
89,Male,4.0,49
53,Female,4.0,67
75,Male,5.0,59
85,Female,3.0,23
88,Other,2.0,39
53,Female,4.0,47
24,Other,3.0,64
67,Other,1.0,61
65,Female,4.0,38
53,Other,4.0,24
75,Male,4.0,29
5,Male,3.0,23
17,Male,,11
55,Prefer not to say,4.0,12
60,Female,,6
87,Female,4.0,22
66,Prefer not to say,2.0,7
36,Female,5.0,90
34,Male,4.0,43
33,Prefer not to say,2.0,2
53,Prefer not to say,4.0,140
49,Male,4.0,27
34,Female,3.0,88
20,Other,5.0,39
44,Other,4.0,80
23,Female,4.0,71
22,Other,3.0,24
5,Prefer not to say,4.0,10
82,Other,2.0,66
51,Female,4.0,28
70,Female,3.0,30
42,Female,4.0,57
55,Prefer not to say,,87
67,Female,5.0,16
8,Other,4.0,71
5,Female,3.0,30
12,Female,5.0,200
33,Female,4.0,88
59,Prefer not to say,4.0,102
7,Prefer not to say,2.0,33
36,Prefer not to say,5.0,41
14,Prefer not to say,4.0,16
78,Male,4.0,32
87,Male,4.0,50
38,Other,,54
59,Female,4.0,8
36,Prefer not to say,4.0,55
54,Prefer not to say,4.0,46
11,Female,4.0,223
12,Female,4.0,152
69,Male,3.0,26
61,Female,4.0,52
71,Male,4.0,66
63,Female,3.0,58
76,Female,5.0,27
58,Prefer not to say,4.0,34
71,Prefer not to say,3.0,81
55,Male,1.0,13
12,Female,2.0,57
38,Prefer not to say,4.0,67
39,Male,4.0,36
82,Prefer not to say,2.0,53
36,Other,4.0,125
50,Male,4.0,119
20,Other,2.0,53
72,Female,4.0,17
41,Male,5.0,3
